id,kind,lat,lng,r
179101,1,34.5324972,113.8687534,19102
408900,1,34.7743035,112.4383329,13534
408901,1,34.7056287,112.3350016,13542
960001597,0,34.7662839,113.6702571,500
960001577,0,34.7678601,113.7470171,500
183100,1,36.2016011,113.1346974,13888
183101,1,36.2937359,113.1175406,13889
3324800,1,38.6342495,113.0216526,14027
3324801,1,38.5590192,112.9166718,13837
771200,1,37.7714221,112.5675518,14756
771201,1,37.7203721,112.6932707,14806
960001593,0,37.8598379,112.5379739,500
960001571,0,37.8134437,112.5726101,500
49700,1,40.0919471,113.4040352,14809
49701,1,40.0334450,113.5458909,14480
4004502600,1,39.2279040,112.6412394,14487
4004502601,1,39.3177810,112.7417947,14554
3324600,1,41.1020899,113.0483159,14004
3324601,1,41.1564180,113.1616145,14057
960001818,0,20.4822115,115.3096247,200
960001819,1,20.4823285,115.3056013,205
960002985,1,20.4823963,115.3215994,176
40002437,1,22.2787731,114.1680812,117
40002443,1,22.2902718,114.1942051,33
40002482,1,22.4239024,114.1096007,335
40002470,1,22.2838195,114.1403314,31
40002440,1,22.2791628,114.1586132,144
40042629,1,22.2709370,114.2030550,480
10688,0,22.3379890,114.1432610,165
40002460,1,22.4848666,114.0769380,49
40002445,1,22.3224636,114.1545649,81
40002463,1,22.4902087,114.0806242,329
40042616,1,22.3711986,114.1227193,72
40002496,1,22.2847650,114.1743850,50
40002455,1,22.2768877,114.1665739,126
40002447,1,22.2756827,114.1614097,47
40002456,1,22.2817555,114.1635576,134
40002458,1,22.3370320,114.1803806,254
40042599,1,22.2828265,114.1825535,101
40002448,1,22.2756725,114.1631334,40
40002441,1,22.2881007,114.1397888,35
40002439,1,22.2794487,114.1597001,30
40002475,1,22.4268083,114.1084310,67
40002472,1,22.2706753,114.1606384,67
40002467,1,22.4787061,114.0705904,254
40002461,1,22.4851830,114.0761873,100
40002478,1,22.4221557,114.1124726,189
40002462,1,22.4858358,114.0805829,432
40002473,1,22.4280367,114.1068838,202
40002454,1,22.1989780,114.2160272,755
40002457,1,22.3051100,114.1745446,207
40002451,1,22.2837791,114.1644499,76
